"city08","co2TailpipeGpm","cylinders","displ","drive","fuelType1","highway08","trany","VClass","year","tCharger","sCharger","startStop"
19,423.1904761905,4,2,"Rear-Wheel Drive","Regular Gasoline",25,"Manual","Two Seater",1985,"N","N","N"
9,807.9090909091,12,4.9,"Rear-Wheel Drive","Regular Gasoline",14,"Manual","Two Seater",1985,"N","N","N"
23,329.1481481481,4,2.2,"Front-Wheel Drive","Regular Gasoline",33,"Manual","SubCompact Car",1985,"N","N","N"
10,807.9090909091,8,5.2,"Rear-Wheel Drive","Regular Gasoline",12,"Automatic","Van",1985,"N","N","N"
17,467.7368421053,4,2.2,"4-Wheel Drive","Premium Gasoline",23,"Manual","Compact Car",1993,"Y","N","N"
21,403.9545454545,4,1.8,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Compact Car",1993,"N","N","N"
22,355.48,4,1.8,"Front-Wheel Drive","Regular Gasoline",29,"Manual","Compact Car",1993,"N","N","N"
23,370.2916666667,4,1.6,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Compact Car",1993,"N","N","N"
23,341.8076923077,4,1.6,"Front-Wheel Drive","Regular Gasoline",31,"Manual","Compact Car",1993,"N","N","N"
23,355.48,4,1.8,"Front-Wheel Drive","Regular Gasoline",30,"Automatic","Compact Car",1993,"N","N","N"
23,341.8076923077,4,1.8,"Front-Wheel Drive","Regular Gasoline",30,"Manual","Compact Car",1993,"N","N","N"
18,423.1904761905,4,2,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Compact Car",1993,"N","N","N"
21,370.2916666667,4,2,"Front-Wheel Drive","Regular Gasoline",29,"Manual","Compact Car",1993,"N","N","N"
18,423.1904761905,4,2,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Compact Car",1993,"N","N","N"
12,683.6153846154,8,5.2,"Rear-Wheel Drive","Regular Gasoline",15,"Automatic","Van",1985,"N","N","N"
20,386.3913043478,4,2,"Front-Wheel Drive","Regular Gasoline",28,"Manual","Compact Car",1993,"N","N","N"
18,444.35,4,2.3,"Rear-Wheel Drive","Regular Gasoline",23,"Automatic","Compact Car",1993,"N","N","N"
19,423.1904761905,4,2.3,"Rear-Wheel Drive","Regular Gasoline",26,"Manual","Compact Car",1993,"N","N","N"
17,467.7368421053,6,2.8,"Front-Wheel Drive","Premium Gasoline",22,"Automatic","Midsize Car",1993,"N","N","N"
17,467.7368421053,6,2.8,"Front-Wheel Drive","Premium Gasoline",24,"Manual","Midsize Car",1993,"N","N","N"
14,555.4375,8,4,"Rear-Wheel Drive","Premium Gasoline",20,"Automatic","Midsize Car",1993,"N","N","N"
14,555.4375,8,4,"Rear-Wheel Drive","Premium Gasoline",20,"Automatic","Midsize Car",1993,"N","N","N"
11,683.6153846154,12,5,"Rear-Wheel Drive","Regular Gasoline",17,"Automatic","Midsize Car",1993,"N","N","N"
21,386.3913043478,4,2.2,"Front-Wheel Drive","Regular Gasoline",28,"Automatic","Midsize Car",1993,"N","N","N"
17,467.7368421053,6,3.3,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Midsize Car",1993,"N","N","N"
11,683.6153846154,8,5.2,"Rear-Wheel Drive","Regular Gasoline",17,"Manual","Van",1985,"N","N","N"
